2019-09-14 10:06:22 [INFO] pandownload version: 2.1.3
2019-09-14 10:06:24 [INFO] aria2 websocket connection opened (127.0.0.1:36878)
2019-09-14 10:06:24 [INFO] aria2 version: 1.34.0
2019-09-14 10:06:24 [INFO] aria2 json-rpc path: http://token:pandownload@127.0.0.1:36878/jsonrpc
2019-09-14 10:06:24 [INFO] create main window
2019-09-14 10:06:24 [INFO] verify cookie (637)
2019-09-14 10:06:27 [INFO] user login success (3694736204): 满载的菠萝
2019-09-14 11:47:58 [WARN] request error (0x200000001): https://pan.baidu.com/api/quota {"errno":1,"request_id":5948764160523748204}
2019-09-14 13:14:46 [WARN] request error (0x10000001c): https://pan.baidu.com/api/quota 
2019-09-14 13:45:22 [WARN] request error (0x10000001c): https://pan.baidu.com/api/quota 
2019-09-14 15:26:01 [WARN] request error (0x10000001c): https://pan.baidu.com/api/quota 
2019-09-14 16:30:35 [WARN] request error (0x10000001c): https://pan.baidu.com/api/quota 
2019-09-14 16:31:25 [WARN] request error (0x10000001c): https://pan.baidu.com/api/quota 
2019-09-14 16:32:00 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:32:36 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:33:16 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:33:55 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:34:36 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:35:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:36:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:37:11 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:37:40 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:38:12 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:38:45 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:39:05 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-09-14 16:39:25 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
